id,inning,over,ball,batsman,bowler,batsman_runs,total_runs,is_wicket,dismissal_kind,player_dismissed,batting_team,bowling_team
335982,2,6,2,CL White,AB Agarkar,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,6,3,CL White,AB Agarkar,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,6,4,MV Boucher,AB Agarkar,0,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,6,5,MV Boucher,AB Agarkar,0,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,6,6,MV Boucher,AB Agarkar,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,6,7,MV Boucher,AB Agarkar,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,6,8,MV Boucher,AB Agarkar,4,4,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,7,1,CL White,SC Ganguly,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,7,2,MV Boucher,SC Ganguly,0,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,7,3,CL White,SC Ganguly,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,7,4,MV Boucher,SC Ganguly,2,2,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,7,5,MV Boucher,SC Ganguly,0,0,1,caught,MV Boucher,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,7,6,CL White,SC Ganguly,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,8,1,B Akhil,AB Agarkar,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,8,2,B Akhil,AB Agarkar,0,0,1,caught,B Akhil,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,8,3,AA Noffke,AB Agarkar,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,8,4,AA Noffke,AB Agarkar,0,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,8,5,AA Noffke,AB Agarkar,0,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,8,6,AA Noffke,AB Agarkar,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,8,7,CL White,AB Agarkar,2,2,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,8,8,CL White,AB Agarkar,0,0,1,caught,CL White,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,9,1,AA Noffke,SC Ganguly,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,9,2,P Kumar,SC Ganguly,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,9,3,P Kumar,SC Ganguly,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,9,4,P Kumar,SC Ganguly,0,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,9,5,P Kumar,SC Ganguly,0,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,9,6,AA Noffke,SC Ganguly,4,4,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,9,7,AA Noffke,SC Ganguly,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,10,1,AA Noffke,AB Agarkar,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,10,2,AA Noffke,AB Agarkar,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,10,3,AA Noffke,AB Agarkar,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,10,4,AA Noffke,AB Agarkar,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,10,5,P Kumar,AB Agarkar,4,4,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,10,6,P Kumar,AB Agarkar,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,11,1,AA Noffke,SC Ganguly,1,1,1,run out,AA Noffke,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,11,2,Z Khan,SC Ganguly,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,11,3,Z Khan,SC Ganguly,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,11,4,Z Khan,SC Ganguly,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,11,5,P Kumar,SC Ganguly,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,11,6,P Kumar,SC Ganguly,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,12,1,P Kumar,LR Shukla,6,6,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,12,2,P Kumar,LR Shukla,0,2,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,12,3,Z Khan,LR Shukla,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,12,4,P Kumar,LR Shukla,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,12,5,Z Khan,LR Shukla,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,12,6,Z Khan,LR Shukla,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,12,7,Z Khan,LR Shukla,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,13,1,Z Khan,SC Ganguly,0,0,1,bowled,Z Khan,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,13,2,SB Joshi,SC Ganguly,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,13,3,P Kumar,SC Ganguly,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,13,4,P Kumar,SC Ganguly,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,13,5,P Kumar,SC Ganguly,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,13,6,P Kumar,SC Ganguly,6,6,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,14,1,SB Joshi,I Sharma,0,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,14,2,SB Joshi,I Sharma,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,14,3,SB Joshi,I Sharma,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,14,4,SB Joshi,I Sharma,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,14,5,P Kumar,I Sharma,0,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,14,6,SB Joshi,I Sharma,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,14,7,P Kumar,I Sharma,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,15,1,SB Joshi,LR Shukla,0,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,15,2,SB Joshi,LR Shukla,0,0,1,caught,SB Joshi,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,3,1,W Jaffer,I Sharma,2,2,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,3,2,W Jaffer,I Sharma,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,3,3,JH Kallis,I Sharma,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,3,4,JH Kallis,I Sharma,0,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,3,5,W Jaffer,I Sharma,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,3,6,W Jaffer,I Sharma,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,4,1,JH Kallis,AB Agarkar,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,4,2,W Jaffer,AB Agarkar,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,4,3,JH Kallis,AB Agarkar,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,4,4,JH Kallis,AB Agarkar,6,6,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,4,5,JH Kallis,AB Agarkar,0,0,1,caught,JH Kallis,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,4,6,CL White,AB Agarkar,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,5,1,W Jaffer,AB Dinda,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,5,2,W Jaffer,AB Dinda,0,0,1,caught,W Jaffer,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,5,3,MV Boucher,AB Dinda,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,5,4,MV Boucher,AB Dinda,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,5,5,CL White,AB Dinda,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,0,1,R Dravid,AB Dinda,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,0,2,W Jaffer,AB Dinda,0,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,0,3,W Jaffer,AB Dinda,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,0,4,W Jaffer,AB Dinda,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,0,5,R Dravid,AB Dinda,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,0,6,W Jaffer,AB Dinda,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,0,7,W Jaffer,AB Dinda,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,1,1,R Dravid,I Sharma,0,0,1,bowled,R Dravid,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,1,2,V Kohli,I Sharma,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,1,3,V Kohli,I Sharma,0,4,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,1,4,V Kohli,I Sharma,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,1,5,W Jaffer,I Sharma,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,1,6,W Jaffer,I Sharma,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,2,1,V Kohli,AB Dinda,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,2,2,V Kohli,AB Dinda,0,0,1,bowled,V Kohli,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,2,3,JH Kallis,AB Dinda,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,2,4,W Jaffer,AB Dinda,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,2,5,W Jaffer,AB Dinda,0,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,2,6,W Jaffer,AB Dinda,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,2,7,W Jaffer,AB Dinda,1,1,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,5,6,MV Boucher,AB Dinda,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,6,1,CL White,AB Agarkar,0,0,0,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
335985,2,0,1,S Chanderpaul,A Nehra,0,0,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,0,2,S Chanderpaul,A Nehra,1,1,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,0,3,R Dravid,A Nehra,0,0,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,0,4,R Dravid,A Nehra,1,1,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,0,5,S Chanderpaul,A Nehra,4,4,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,0,6,S Chanderpaul,A Nehra,4,4,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,1,1,R Dravid,SM Pollock,0,0,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,1,2,R Dravid,SM Pollock,0,0,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,1,3,R Dravid,SM Pollock,0,0,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,1,4,R Dravid,SM Pollock,0,0,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,1,5,R Dravid,SM Pollock,0,0,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,1,6,R Dravid,SM Pollock,1,1,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,2,1,R Dravid,A Nehra,0,0,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,2,2,R Dravid,A Nehra,4,4,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,2,3,R Dravid,A Nehra,1,1,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,2,4,S Chanderpaul,A Nehra,1,1,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,2,5,R Dravid,A Nehra,4,4,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,2,6,R Dravid,A Nehra,1,1,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,3,1,R Dravid,SM Pollock,0,0,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,3,2,R Dravid,SM Pollock,1,1,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,3,3,S Chanderpaul,SM Pollock,1,1,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,3,4,R Dravid,SM Pollock,1,1,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,3,5,S Chanderpaul,SM Pollock,1,1,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,3,6,R Dravid,SM Pollock,1,1,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,4,1,R Dravid,DS Kulkarni,4,4,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,4,2,R Dravid,DS Kulkarni,1,1,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
335985,2,4,3,S Chanderpaul,DS Kulkarni,4,4,0,NA,NA,Royal Challengers Bangalore,Mumbai Indians
